"","Cost","Specificity","Recall","Precision","F1","Accuracy"
"1",1,0.960710944808232,0.776649746192893,0.784615384615385,0.780612244897959,0
"2",1.1,0.957904583723106,0.817258883248731,0.781553398058252,0.799007444168734,0
"3",1.2,0.953227315247895,0.83248730964467,0.766355140186916,0.798053527980535,0
"4",1.3,0.958372310570627,0.8248730964467,0.785024154589372,0.804455445544555,0
"5",1.4,0.949017773620206,0.83502538071066,0.751141552511416,0.790865384615385,0
"6",1.5,0.938727782974743,0.842639593908629,0.717062634989201,0.774795799299883,0
"7",1.6,0.949017773620206,0.83502538071066,0.751141552511416,0.790865384615385,0
"8",1.7,0.936389148737138,0.845177664974619,0.71002132196162,0.771726535341831,0
"9",1.8,0.936389148737138,0.845177664974619,0.71002132196162,0.771726535341831,0
"10",1.9,0.934518241347053,0.847715736040609,0.70464135021097,0.769585253456221,0
"11",2,0.925163704396632,0.868020304568528,0.681274900398406,0.763392857142857,0
"12",2.1,0.923292797006548,0.870558375634518,0.676528599605523,0.761376248612653,0
"13",2.2,0.923292797006548,0.870558375634518,0.676528599605523,0.761376248612653,0
"14",2.3,0.923292797006548,0.870558375634518,0.676528599605523,0.761376248612653,0
"15",2.4,0.923292797006548,0.870558375634518,0.676528599605523,0.761376248612653,0
"16",2.5,0.923292797006548,0.870558375634518,0.676528599605523,0.761376248612653,0
"17",2.6,0.923292797006548,0.870558375634518,0.676528599605523,0.761376248612653,0
"18",2.7,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"19",2.8,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"20",2.9,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"21",3,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"22",3.1,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"23",3.2,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"24",3.3,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"25",3.4,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"26",3.5,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"27",3.6,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"28",3.7,0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"29",3.8,0.890551917680075,0.908629441624365,0.60472972972973,0.726166328600406,0
"30",3.9,0.890551917680075,0.908629441624365,0.60472972972973,0.726166328600406,0
"31",4,0.890551917680075,0.908629441624365,0.60472972972973,0.726166328600406,0
